ÉäÉìÉNID,ãNì_ÉmÅ[ÉhID,èIì_ÉmÅ[ÉhID,åoòHÇÃéÌóﬁ,ãüópäJénéûä‘,ãüópèIóπéûä‘,ãüópäJénì˙,ãüópèIóπì˙,ãüópêßå¿ójì˙,ï˚å¸ê´,í çsêßå¿,óLå¯ïùàı,óLå¯ïùàıà‹ìx,óLå¯ïùàıåoìx,ècífå˘îz1,ècífå˘îz1à‹ìx,ècífå˘îz1åoìx,ècífå˘îz2,â°ífå˘îz,â°ífå˘îzà‹ìx,â°ífå˘îzåoìx,òHñ èÛãµ,íiç∑,íiç∑à‹ìx,íiç∑åoìx,ç≈è¨äKíiíiêî,ç≈ëÂäKíiíiêî,éËÇ∑ÇË,âÆç™ÇÃóLñ≥,äWÇÃÇ»Ç¢çaÅAêÖòHÇÃóLñ≥,ÉoÉXí‚ÇÃóLñ≥,ÉoÉXí‚ÇÃà‹ìx,ÉoÉXí‚ÇÃåoìx,éãäoè·äQé“óUì±ópÉuÉçÉbÉN,ï‚èïé{ê›ÇÃê›íuèÛãµ,ï‚èïé{ê›ÇÃà‹ìx,ï‚èïé{ê›ÇÃåoìx,ÉGÉåÉxÅ[É^Å[éÌï ,ÉGÉåÉxÅ[É^Å[ÇÃà‹ìx,ÉGÉåÉxÅ[É^Å[ÇÃåoìx,êMçÜÇÃóLñ≥,êMçÜÇÃà‹ìx,êMçÜÇÃåoìx,êMçÜéÌï ,ì˙åí ó ,éÂÇ»óòópé“,í ÇËñºèÃÇ‹ÇΩÇÕåç∑ì_ñºèÃ,ÉGÉXÉRÅ[ÉgÉ]Å[Éì,ÉäÉìÉNâÑí∑
00001B000000000309A925259A3F9881,00001B000000000309A925259A3F9883,00001B000000000309A926259A3F9883,8,05-35,00-24,,,,0,0,3,35.10.25.1183,136.54.23.9117,2,35.10.25.1183,136.54.23.9117,0,1,35.10.25.1183,136.54.23.9117,0,0,,,0,0,0,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,7
00001B000000000309A926A59A401881,00001B000000000309A926A59A401882,00001B000000000309A926259A3F9883,8,05-35,00-24,,,,0,0,1,35.10.25.3129,136.54.23.9681,1,35.10.25.3129,136.54.23.9681,0,1,35.10.25.3129,136.54.23.9681,0,0,,,0,0,0,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.7
00001B000000000309A92A259A3718C1,00001B000000000309A92A259A3718C3,00001B000000000309A92A259A3718C4,8,05-35,00-24,,,,0,0,3,35.10.26.0313,136.54.22.2587,1,35.10.26.0313,136.54.22.2587,0,1,35.10.26.0313,136.54.22.2587,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.4
00001B000000000309A929259A3698C2,00001B000000000309A929259A3698C3,00001B000000000309A92A259A3718C3,12,05-35,00-24,,,,0,0,3,35.10.25.9334,136.54.22.2133,0,35.10.25.9334,136.54.22.2133,2,0,35.10.25.9334,136.54.22.2133,0,0,,,16,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,5
00001B000000000309A929259A3698C1,00001B000000000309A929259A3698C4,00001B000000000309A929259A3698C3,8,05-35,00-24,,,,0,0,3,35.10.25.8424,136.54.22.1557,1,35.10.25.8424,136.54.22.1557,0,1,35.10.25.8424,136.54.22.1557,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.4
00001B000000000309A928A59A3618C1,00001B000000000309A928A59A3618C2,00001B000000000309A929259A3698C4,12,05-35,00-24,,,,0,0,3,35.10.25.789,136.54.22.0904,0,35.10.25.789,136.54.22.0904,2,0,35.10.25.789,136.54.22.0904,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A928A59A3598C1,00001B000000000309A928A59A3598C2,00001B000000000309A928A59A3618C2,8,05-35,00-24,,,,0,0,3,35.10.25.7416,136.54.22.0142,1,35.10.25.7416,136.54.22.0142,0,1,35.10.25.7416,136.54.22.0142,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.6
00001B000000000309A928259A3518C2,00001B000000000309A928259A3518C4,00001B000000000309A928A59A3598C2,12,05-35,00-24,,,,0,0,3,35.10.25.6988,136.54.21.9273,0,35.10.25.6988,136.54.21.9273,2,0,35.10.25.6988,136.54.21.9273,0,0,,,11,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.4
00001B000000000309A928259A3518C1,00001B000000000309A928259A3518C3,00001B000000000309A928259A3518C4,8,05-35,00-24,,,,0,0,3,35.10.25.6629,136.54.21.8507,1,35.10.25.6629,136.54.21.8507,0,1,35.10.25.6629,136.54.21.8507,0,0,,,0,0,3,1,1,0,,,1,0,,,0,,,0,,,,0,0,,0,1.2
00001B000000000309A91F259A3818C1,00001B000000000309A91F259A3818C2,00001B000000000309A91FA59A3818C2,12,05-35,00-24,,,,0,0,3,35.10.23.9339,136.54.22.4798,0,35.10.23.9339,136.54.22.4798,2,0,35.10.23.9339,136.54.22.4798,0,0,,,12,0,3,1,1,0,,,0,0,,,0,,,0,,,,0,0,,0,3.7
